2024-07-20 17:58:45,497 INFO    StreamThr :90596 [internal.py:wandb_internal():85] W&B internal server running at pid: 90596, started at: 2024-07-20 17:58:45.496300
2024-07-20 17:58:45,501 DEBUG   HandlerThread:90596 [handler.py:handle_request():158] handle_request: status
2024-07-20 17:58:45,504 INFO    WriterThread:90596 [datastore.py:open_for_write():87] open: /local/scratch/PycharmProjects/loss_grad/NCA_v2/NCA_Solidification/NCA_v2/RegP_classEA_t_encode_diCNN/3EA/3D/JIan_data/adddata_5l256_dp0.5/Setup_0/wandb/run-20240720_175845-ac58ryct/run-ac58ryct.wandb
2024-07-20 17:58:45,505 DEBUG   SenderThread:90596 [sender.py:send():379] send: header
2024-07-20 17:58:45,509 DEBUG   SenderThread:90596 [sender.py:send():379] send: run
2024-07-20 17:58:45,934 INFO    SenderThread:90596 [dir_watcher.py:__init__():211] watching files in: /local/scratch/PycharmProjects/loss_grad/NCA_v2/NCA_Solidification/NCA_v2/RegP_classEA_t_encode_diCNN/3EA/3D/JIan_data/adddata_5l256_dp0.5/Setup_0/wandb/run-20240720_175845-ac58ryct/files
2024-07-20 17:58:45,934 INFO    SenderThread:90596 [sender.py:_start_run_threads():1188] run started: ac58ryct with start time 1721491125.495998
2024-07-20 17:58:45,954 DEBUG   HandlerThread:90596 [handler.py:handle_request():158] handle_request: check_version
2024-07-20 17:58:45,954 DEBUG   SenderThread:90596 [sender.py:send_request():406] send_request: check_version
2024-07-20 17:58:46,105 DEBUG   HandlerThread:90596 [handler.py:handle_request():158] handle_request: run_start
2024-07-20 17:58:46,141 DEBUG   HandlerThread:90596 [system_info.py:__init__():26] System info init
2024-07-20 17:58:46,141 DEBUG   HandlerThread:90596 [system_info.py:__init__():41] System info init done
2024-07-20 17:58:46,141 INFO    HandlerThread:90596 [system_monitor.py:start():194] Starting system monitor
2024-07-20 17:58:46,141 INFO    SystemMonitor:90596 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-07-20 17:58:46,143 INFO    HandlerThread:90596 [system_monitor.py:probe():214] Collecting system info
2024-07-20 17:58:46,144 INFO    SystemMonitor:90596 [interfaces.py:start():188] Started cpu monitoring
2024-07-20 17:58:46,145 INFO    SystemMonitor:90596 [interfaces.py:start():188] Started disk monitoring
2024-07-20 17:58:46,146 INFO    SystemMonitor:90596 [interfaces.py:start():188] Started gpu monitoring
2024-07-20 17:58:46,149 INFO    SystemMonitor:90596 [interfaces.py:start():188] Started memory monitoring
2024-07-20 17:58:46,153 INFO    SystemMonitor:90596 [interfaces.py:start():188] Started network monitoring
